t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-700.0,112.72727272727272,50.88248454763903,-120.96831566301027,13.395033582922954
-700.0,116.36363636363636,51.3050277147652,-120.96831566301027,13.347727671579081
-700.0,120.0,51.70215947321515,-120.96831566301027,13.31494730427811
-700.0,123.63636363636363,52.076633531863635,-120.96831566301027,13.29312375321507
-700.0,127.27272727272727,22.66074547202311,592.45181117053,14.912638328667065
-700.0,130.9090909090909,20.457704631505337,708.5899713527342,14.984826331786014
-700.0,134.54545454545453,19.200877155690417,791.5458000543088,14.935689032108145
-700.0,138.1818181818182,18.1148615086981,874.5016287558832,14.927062482104896
-700.0,141.8181818181818,17.16798603325178,957.4574574574576,14.944642531060847
-700.0,145.45454545454544,17.309660395696763,957.4574574574576,14.520704007685179
-700.0,149.0909090909091,17.451865840059213,957.4574574574576,14.152641039356498
-700.0,152.72727272727272,17.59426527759902,957.4574574574576,13.846009532916016
-700.0,156.36363636363635,17.736470645897192,957.4574574574576,13.60663796776171
-700.0,160.0,17.878057914074954,957.4574574574576,13.440140559207231
-700.0,163.63636363636363,18.018578118218844,957.4574574574576,13.351427692794218
-700.0,167.27272727272728,18.157566124604756,957.4574574574576,13.344253846686424
-700.0,170.9090909090909,18.29454838770924,957.4574574574576,13.420857658667057
-700.0,174.54545454545453,18.429049136883133,957.4574574574576,13.581745952845266
-700.0,178.1818181818182,18.560595141005763,957.4574574574576,13.82565202950789
-700.0,181.8181818181818,18.68871975396929,957.4574574574576,14.149665078078122
-700.0,185.45454545454544,18.812966465449097,957.4574574574576,14.549494730821781
-700.0,189.0909090909091,19.15727919475251,940.8662917171425,14.90769207740824
-700.0,192.72727272727272,20.23358413083685,874.5016287558832,14.969402777426764
-700.0,196.36363636363635,21.70513000434242,791.5458000543088,14.914458219168683
-700.0,200.0,23.055049901276714,725.1811370930491,14.985706610799424
-700.0,203.63636363636363,24.94452232329857,642.2253083914745,14.891547144084592
-700.0,207.27272727272725,26.70848376882115,575.8606454302151,14.91941538731399
-700.0,210.9090909090909,28.7312097919009,509.4959824689555,14.910268235238743
-700.0,214.54545454545453,31.08566613448572,443.1313195076959,14.849163459322561
-700.0,218.1818181818182,33.15468048429641,393.35782228675134,14.93334124781976
-700.0,221.8181818181818,35.529667131924015,343.58432506580664,14.963528737453474
-700.0,225.45454545454544,38.30077106064813,293.81082784486193,14.923184901999809
-700.0,229.0909090909091,41.59888728995011,244.0373306239172,14.791541200721761
-700.0,232.72727272727272,44.19428900349405,210.85499914328756,14.83310387568628
-700.0,236.36363636363635,47.170511096275476,177.67266766265774,14.78033816261811
-700.0,240.0,48.82571664228081,161.08150192234285,14.969581251178464
-700.0,243.63636363636363,52.50486601327478,127.89917044171304,14.68610843001249
-700.0,247.27272727272725,54.508120373408495,111.30800470139813,14.686295582802503
-700.0,250.9090909090909,56.59526641974291,94.71683896108323,14.587942166063037
